time,halfW01,d0,d1,d2,d3
2.950,0.8579,0,0,1,0
0.333,0.8611,2,3,3,1
0.389,0.8616,2,3,3,1
0.420,0.8619,2,3,3,1
0.453,0.8621,2,3,3,1
0.488,0.8623,2,3,3,1
0.520,0.8626,2,3,3,1
0.554,0.8627,2,3,3,1
0.588,0.8629,2,3,3,1
0.619,0.8631,2,3,3,1
0.655,0.8632,2,3,3,1
0.686,0.8633,2,3,4,1
0.721,0.8635,2,3,4,1
0.753,0.8635,2,3,4,1
0.788,0.8636,2,3,4,1
0.821,0.8637,2,3,4,1
0.854,0.8637,2,3,4,1
0.886,0.8638,2,3,4,1
0.922,0.8638,2,3,4,1
0.953,0.8638,2,3,4,1
0.986,0.8638,2,3,4,1
1.021,0.8638,2,3,4,1
1.054,0.8638,2,3,4,1
1.087,0.8637,2,3,4,1
1.120,0.8636,2,3,4,1
1.153,0.8636,2,3,4,1
1.191,0.8635,2,3,4,1
1.220,0.8634,2,3,4,1
1.253,0.8633,2,3,4,1
1.288,0.8631,2,3,4,1
1.320,0.8630,0,0,0,0
1.354,0.8629,0,0,0,0
1.387,0.8627,0,0,0,0
1.421,0.8625,0,0,0,0
1.454,0.8624,0,0,0,0
1.488,0.8621,0,0,0,0
1.519,0.8619,0,0,0,0
1.554,0.8617,0,0,0,0
1.586,0.8615,0,0,0,0
1.621,0.8612,0,0,0,0
1.655,0.8610,0,0,0,0
1.688,0.8607,0,0,0,0
1.720,0.8603,0,0,0,0
1.754,0.8602,0,0,0,0
1.787,0.8598,0,0,0,0
1.820,0.8594,0,0,0,0
1.854,0.8592,0,0,0,0
1.887,0.8588,0,0,0,0
1.921,0.8584,0,0,0,0
1.954,0.8582,0,0,0,0
1.988,0.8578,0,0,0,0
2.021,0.8573,0,0,0,0
2.053,0.8571,0,0,0,0
2.088,0.8566,0,0,0,0
2.121,0.8561,0,0,0,0
2.154,0.8559,0,0,0,0
2.186,0.8554,0,0,0,0
2.221,0.8548,0,0,0,0
2.253,0.8546,0,0,0,0
2.288,0.8541,0,0,0,0
2.320,0.8535,0,0,0,0
2.355,0.8529,0,0,0,0
2.387,0.8527,0,0,0,0
2.422,0.8521,0,0,0,0
2.454,0.8518,0,0,0,0
2.487,0.8512,0,0,0,0
2.521,0.8506,0,0,0,0
2.554,0.8503,0,0,0,0
2.590,0.8497,0,0,0,0
2.620,0.8491,0,0,0,0
2.655,0.8485,0,0,0,0
2.688,0.8482,0,0,0,0
2.720,0.8475,0,0,0,0
2.754,0.8472,0,0,0,0
2.788,0.8466,0,0,0,0
2.821,0.8459,0,0,0,0
2.853,0.8456,0,0,0,0
2.886,0.8449,0,0,0,0
2.920,0.8443,0,0,0,0
2.955,0.8436,0,0,0,0
2.988,0.8433,0,0,0,0
3.022,0.8426,0,0,0,0
3.054,0.8423,0,0,0,0
3.088,0.8416,0,0,0,0
